File,Line,Error Type,Quality,Message,Notes,Context
src/modules.rs,464,codegen,Adequate,format,Basic error message,"return Err(CompileError::codegen(format!( ""conflicting extern fn signatures for '{}'"","
src/modules.rs,572,codegen,Adequate,entry file has no parent directory,Clear but could be more specific,"CompileError::codegen(""entry file has no parent directory"") })?;"
src/modules.rs,718,codegen,Adequate,format,Basic error message,"return Err(CompileError::codegen(format!( ""circular import detected: '{}'"","
src/rust_ffi/mod.rs,75,codegen,Adequate,format,Basic error message,"CompileError::codegen(format!( ""extern rust '{}': cannot resolve crate path '{}': {}"","
src/rust_ffi/mod.rs,86,codegen,Adequate,format,Basic error message,"CompileError::codegen(format!( ""extern rust '{}': cannot read lib source '{}': {}"","
src/rust_ffi/mod.rs,121,codegen,Adequate,format,Basic error message,"return Err(CompileError::codegen(format!( ""extern rust crates '{}' and '{}' have the same lib target name '{}'; this is not supported"","
src/rust_ffi/mod.rs,227,codegen,Adequate,format,Basic error message,"return Err(CompileError::codegen(format!( ""extern rust '{}': no Cargo.toml found at '{}'"","
src/rust_ffi/mod.rs,243,codegen,Adequate,format,Basic error message,"CompileError::codegen(format!( ""extern rust '{}': failed to run cargo metadata: {}"","
src/rust_ffi/mod.rs,251,codegen,Adequate,format,Basic error message,"return Err(CompileError::codegen(format!( ""extern rust '{}': cargo metadata failed: {}"","
src/rust_ffi/mod.rs,278,codegen,Adequate,format,Basic error message,"CompileError::codegen(format!( ""extern rust '{}': cargo metadata output missing 'packages' field"","
src/rust_ffi/mod.rs,285,codegen,Adequate,format,Basic error message,"CompileError::codegen(format!( ""extern rust '{}': malformed cargo metadata output"","
src/rust_ffi/mod.rs,294,codegen,Adequate,format,Basic error message,"CompileError::codegen(format!( ""extern rust '{}': could not find package in cargo metadata (looking for manifest_path: {})"","
src/rust_ffi/mod.rs,302,codegen,Adequate,format,Basic error message,"CompileError::codegen(format!( ""extern rust '{}': package has no 'targets' field"","
src/rust_ffi/mod.rs,309,codegen,Adequate,format,Basic error message,"CompileError::codegen(format!( ""extern rust '{}': malformed targets in cargo metadata"","
src/rust_ffi/mod.rs,357,codegen,Adequate,format,Basic error message,"CompileError::codegen(format!( ""extern rust '{}': no lib target found in crate"","
src/rust_ffi/mod.rs,363,codegen,Adequate,format,Basic error message,"CompileError::codegen(format!( ""extern rust '{}': lib target has no src_path"","
src/rust_ffi/mod.rs,660,codegen,Adequate,format,Basic error message,"return Err(CompileError::codegen(format!( ""glue crate build failed:\n{}"","
src/rust_ffi/mod.rs,732,codegen,Adequate,format,Basic error message,"Err(CompileError::codegen(format!( ""glue crate static lib not found in '{}'"","
src/typeck/errors.rs,611,type_err,Adequate,msg,Basic error message,".map_err(|msg| CompileError::type_err(msg, method.span))?; if is_fallible { return Err(CompileError::type_err("
src/typeck/errors.rs,643,type_err,Adequate,msg,Basic error message,".map_err(|msg| CompileError::type_err(msg, method.span))?; if !is_fallible { return Err(CompileError::type_err("
src/typeck/errors.rs,680,type_err,Adequate,msg,Basic error message,".map_err(|msg| CompileError::type_err(msg, method.span))?; if !is_fallible { return Err(CompileError::type_err("
src/typeck/infer.rs,1337,type_err,Adequate,len() expects 0 arguments,Clear but could be more specific,"return Err(CompileError::type_err(""len() expects 0 arguments"".to_string(), span)); }"
src/typeck/infer.rs,1344,type_err,Adequate,contains() expects 1 argument,Clear but could be more specific,"return Err(CompileError::type_err(""contains() expects 1 argument"".to_string(), span)); }"
src/typeck/infer.rs,1357,type_err,Adequate,insert() expects 2 arguments,Clear but could be more specific,"return Err(CompileError::type_err(""insert() expects 2 arguments"".to_string(), span)); }"
src/typeck/infer.rs,1376,type_err,Adequate,remove() expects 1 argument,Clear but could be more specific,"return Err(CompileError::type_err(""remove() expects 1 argument"".to_string(), span)); }"
src/typeck/infer.rs,1389,type_err,Adequate,keys() expects 0 arguments,Clear but could be more specific,"return Err(CompileError::type_err(""keys() expects 0 arguments"".to_string(), span)); }"
src/typeck/infer.rs,1396,type_err,Adequate,values() expects 0 arguments,Clear but could be more specific,"return Err(CompileError::type_err(""values() expects 0 arguments"".to_string(), span)); }"
src/typeck/infer.rs,1421,type_err,Adequate,len() expects 0 arguments,Clear but could be more specific,"return Err(CompileError::type_err(""len() expects 0 arguments"".to_string(), span)); }"
src/typeck/infer.rs,1428,type_err,Adequate,contains() expects 1 argument,Clear but could be more specific,"return Err(CompileError::type_err(""contains() expects 1 argument"".to_string(), span)); }"
src/typeck/infer.rs,1441,type_err,Adequate,insert() expects 1 argument,Clear but could be more specific,"return Err(CompileError::type_err(""insert() expects 1 argument"".to_string(), span)); }"
src/typeck/infer.rs,1454,type_err,Adequate,remove() expects 1 argument,Clear but could be more specific,"return Err(CompileError::type_err(""remove() expects 1 argument"".to_string(), span)); }"
src/typeck/infer.rs,1467,type_err,Adequate,to_array() expects 0 arguments,Clear but could be more specific,"return Err(CompileError::type_err(""to_array() expects 0 arguments"".to_string(), span)); }"
src/typeck/infer.rs,1554,type_err,Adequate,len() expects 0 arguments,Clear but could be more specific,"return Err(CompileError::type_err(""len() expects 0 arguments"".to_string(), span)); }"
src/typeck/infer.rs,1561,type_err,Adequate,push() expects 1 argument,Clear but could be more specific,"return Err(CompileError::type_err(""push() expects 1 argument"".to_string(), span)); }"
src/typeck/infer.rs,1574,type_err,Adequate,to_string() expects 0 arguments,Clear but could be more specific,"return Err(CompileError::type_err(""to_string() expects 0 arguments"".to_string(), span)); }"
src/codegen/lower/mod.rs,3885,codegen,Excellent,generator local variable '{}' not found in pre-declared slots,"Contextual, specific, and actionable","CompileError::codegen(format!(""generator local variable '{}' not found in pre-declared slots"", name.node)) })?;"
src/codegen/mod.rs,148,codegen,Excellent,declare function error: {e},"Contextual, specific, and actionable",".map_err(|e| CompileError::codegen(format!(""declare function error: {e}"")))?;  func_ids.insert(f.name.node.clone(), func_id);"
src/modules.rs,271,codegen,Excellent,cannot resolve dep path '{}': {e},"Contextual, specific, and actionable","CompileError::codegen(format!(""cannot resolve dep path '{}': {e}"", dep_path.display())) })?;"
src/modules.rs,336,codegen,Excellent,cannot resolve dep path '{}': {e},"Contextual, specific, and actionable","CompileError::codegen(format!(""cannot resolve dep path '{}': {e}"", dep_path.display())) })?;"
src/modules.rs,707,codegen,Excellent,cannot resolve dep path '{}': {e},"Contextual, specific, and actionable","CompileError::codegen(format!(""cannot resolve dep path '{}': {e}"", dep_path.display())) })?;"
src/modules.rs,770,codegen,Excellent,cannot resolve dep path '{}': {e},"Contextual, specific, and actionable","CompileError::codegen(format!(""cannot resolve dep path '{}': {e}"", dep_path.display())) })?;"
src/codegen/lower/mod.rs,93,codegen,Good,"no vtable for ({class_name}, {trait_name})",Shows types and names,"CompileError::codegen(format!(""no vtable for ({class_name}, {trait_name})"")) })?;"
src/codegen/lower/mod.rs,104,codegen,Good,no singleton global for '{}',Shows types and names,"CompileError::codegen(format!(""no singleton global for '{}'"", class_name)) })?;"
src/codegen/lower/mod.rs,206,codegen,Good,declare data error: {e},Includes specific information,".map_err(|e| CompileError::codegen(format!(""declare data error: {e}"")))?; self.module .define_data(data_id, &data_desc)"
src/codegen/lower/mod.rs,209,codegen,Good,define data error: {e},Includes specific information,".map_err(|e| CompileError::codegen(format!(""define data error: {e}"")))?;  let gv = self.module.declare_data_in_func(data_id, self.builder.func);"
src/codegen/lower/mod.rs,472,codegen,Good,undefined variable '{}',Shows types and names,"CompileError::codegen(format!(""undefined variable '{}'"", target.node)) })?;"
src/codegen/lower/mod.rs,486,codegen,Good,unknown field '{}' on class '{class_name}',Shows types and names,".ok_or_else(|| CompileError::codegen(format!(""unknown field '{}' on class '{class_name}'"", field.node)))? as i32 * POINTER_SIZE; self.builder.ins().store(MemFlags::new(), val, ptr, Offset32::new(offse"
src/codegen/lower/mod.rs,752,codegen,Good,expected range expression,Includes specific information,"_ => return Err(CompileError::codegen(""expected range expression"".to_string())), };"
src/codegen/lower/mod.rs,1295,codegen,Good,unknown enum '{enum_name}',Shows types and names,"CompileError::codegen(format!(""unknown enum '{enum_name}'"")) })?.clone();"
src/codegen/lower/mod.rs,1415,codegen,Good,unknown error '{}',Shows types and names,"CompileError::codegen(format!(""unknown error '{}'"", error_name.node)) })?.clone();"
src/codegen/lower/mod.rs,1503,codegen,Good,scope: unknown class '{class_name}',Shows types and names,"CompileError::codegen(format!(""scope: unknown class '{class_name}'"")) })?.clone();"
src/codegen/lower/mod.rs,1516,codegen,Good,scope: unknown field '{field_name}' on '{class_name}',Shows types and names,"CompileError::codegen(format!(""scope: unknown field '{field_name}' on '{class_name}'"")) })?;"
src/codegen/lower/mod.rs,1861,codegen,Good,undefined variable '{name}',Shows types and names,"CompileError::codegen(format!(""undefined variable '{name}'"")) })?;"
src/codegen/lower/mod.rs,1959,codegen,Good,index on non-indexable type {obj_type},Includes specific information,"Err(CompileError::codegen(format!(""index on non-indexable type {obj_type}""))) }"
src/codegen/lower/mod.rs,1964,codegen,Good,unknown enum '{}',Shows types and names,"CompileError::codegen(format!(""unknown enum '{}'"", enum_name.node)) })?;"
src/codegen/lower/mod.rs,1987,codegen,Good,unknown class '{class_name}',Shows types and names,"CompileError::codegen(format!(""unknown class '{class_name}'"")) })?;"
src/codegen/lower/mod.rs,1993,codegen,Good,unknown field '{}',Shows types and names,"CompileError::codegen(format!(""unknown field '{}'"", field.node)) })?;"
src/codegen/lower/mod.rs,2001,codegen,Good,field access on non-class type {obj_type},Shows types and names,"Err(CompileError::codegen(format!(""field access on non-class type {obj_type}""))) }"
src/codegen/lower/mod.rs,2109,codegen,Good,cannot interpolate {t},Includes specific information,"_ => return Err(CompileError::codegen(format!(""cannot interpolate {t}""))), };"
src/codegen/lower/mod.rs,2228,codegen,Good,invalid {}() argument type in lowered AST,Includes specific information,"_ => return Err(CompileError::codegen(format!(""invalid {}() argument type in lowered AST"", name.node))), });"
src/codegen/lower/mod.rs,2245,codegen,Good,invalid {}() argument type in lowered AST,Includes specific information,"_ => return Err(CompileError::codegen(format!(""invalid {}() argument type in lowered AST"", name.node))), });"
src/codegen/lower/mod.rs,2295,codegen,Good,undefined function '{}',Shows types and names,"CompileError::codegen(format!(""undefined function '{}'"", name.node)) })?;"
src/codegen/lower/mod.rs,2334,codegen,Good,unknown class '{}',Shows types and names,"CompileError::codegen(format!(""unknown class '{}'"", name.node)) })?;"
src/codegen/lower/mod.rs,2349,codegen,Good,unknown field '{}' on class '{}',Shows types and names,".ok_or_else(|| CompileError::codegen(format!(""unknown field '{}' on class '{}'"", lit_name.node, name.node)))? as i32 * POINTER_SIZE; self.builder.ins().store(MemFlags::new(), val, ptr, Offset32::new(o"
src/codegen/lower/mod.rs,2366,codegen,Good,unknown enum '{}',Shows types and names,"CompileError::codegen(format!(""unknown enum '{}'"", enum_name.node)) })?.clone();"
src/codegen/lower/mod.rs,2544,codegen,Good,to_equal not supported for {inner_type},Includes specific information,"_ => return Err(CompileError::codegen(format!(""to_equal not supported for {inner_type}""))), }"
src/codegen/lower/mod.rs,2555,codegen,Good,unknown assertion method: {},Includes specific information,"_ => return Err(CompileError::codegen(format!(""unknown assertion method: {}"", method.node))), }"
src/codegen/lower/mod.rs,2578,codegen,Good,Task has no method '{}',Shows types and names,"_ => return Err(CompileError::codegen(format!(""Task has no method '{}'"", method.node))) }"
src/codegen/lower/mod.rs,2603,codegen,Good,Sender has no method '{}',Shows types and names,"_ => return Err(CompileError::codegen(format!(""Sender has no method '{}'"", method.node))) }"
src/codegen/lower/mod.rs,2618,codegen,Good,Receiver has no method '{}',Shows types and names,"_ => return Err(CompileError::codegen(format!(""Receiver has no method '{}'"", method.node))) }"
src/codegen/lower/mod.rs,2699,codegen,Good,array has no method '{}',Shows types and names,"return Err(CompileError::codegen(format!(""array has no method '{}'"", method.node))); }"
src/codegen/lower/mod.rs,2731,codegen,Good,Map has no method '{}',Shows types and names,"_ => return Err(CompileError::codegen(format!(""Map has no method '{}'"", method.node))), }"
src/codegen/lower/mod.rs,2759,codegen,Good,Set has no method '{}',Shows types and names,"_ => return Err(CompileError::codegen(format!(""Set has no method '{}'"", method.node))), }"
src/codegen/lower/mod.rs,2774,codegen,Good,bytes has no method '{}',Shows types and names,"_ => Err(CompileError::codegen(format!(""bytes has no method '{}'"", method.node))), };"
src/codegen/lower/mod.rs,2852,codegen,Good,string has no method '{}',Shows types and names,"_ => Err(CompileError::codegen(format!(""string has no method '{}'"", method.node))), };"
src/codegen/lower/mod.rs,2859,codegen,Good,unknown trait '{trait_name}',Shows types and names,"CompileError::codegen(format!(""unknown trait '{trait_name}'"")) })?;"
src/codegen/lower/mod.rs,2864,codegen,Good,trait '{trait_name}' has no method '{}',Shows types and names,"CompileError::codegen(format!(""trait '{trait_name}' has no method '{}'"", method.node)) })?;"
src/codegen/lower/mod.rs,2914,codegen,Good,undefined method '{}',Shows types and names,"CompileError::codegen(format!(""undefined method '{}'"", method.node)) })?;"
src/codegen/lower/mod.rs,2976,codegen,Good,method call on non-class type {obj_type},Shows types and names,"Err(CompileError::codegen(format!(""method call on non-class type {obj_type}""))) }"
src/codegen/lower/mod.rs,2987,codegen,Good,undefined closure function '{}',Shows types and names,"CompileError::codegen(format!(""undefined closure function '{}'"", fn_name)) })?;"
src/codegen/lower/mod.rs,3003,codegen,Good,undefined capture variable '{}',Shows types and names,"CompileError::codegen(format!(""undefined capture variable '{}'"", cap_name)) })?;"
src/codegen/lower/mod.rs,3044,codegen,Good,cannot print {arg_type},Includes specific information,"return Err(CompileError::codegen(format!(""cannot print {arg_type}""))); }"
src/codegen/lower/mod.rs,3149,codegen,Good,closure '{}' missing __env param,Shows types and names,"CompileError::codegen(format!(""closure '{}' missing __env param"", func.name.node)) })?;"
src/codegen/lower/mod.rs,3547,codegen,Good,missing generator next function '{next_name}',Shows types and names,"CompileError::codegen(format!(""missing generator next function '{next_name}'"")) })?;"
src/codegen/lower/mod.rs,4065,codegen,Good,generator for-loop variable '{}' not found,Shows types and names,"CompileError::codegen(format!(""generator for-loop variable '{}' not found"", var.node)) })?;"
src/codegen/lower/mod.rs,4128,codegen,Good,generator for-loop variable '{}' not found,Shows types and names,"CompileError::codegen(format!(""generator for-loop variable '{}' not found"", var.node)) })?;"
src/codegen/mod.rs,53,codegen,Good,declare {prefix} global: {e},Includes specific information,".map_err(|e| CompileError::codegen(format!(""declare {prefix} global: {e}"")))?; let mut data_desc = DataDescription::new();"
src/codegen/mod.rs,58,codegen,Good,define {prefix} global: {e},Includes specific information,".map_err(|e| CompileError::codegen(format!(""define {prefix} global: {e}"")))?; globals.insert(name.clone(), data_id);"
src/codegen/mod.rs,86,codegen,Good,unsupported target: {e},Includes specific information,".map_err(|e| CompileError::codegen(format!(""unsupported target: {e}"")))?; let isa = isa_builder .finish(settings::Flags::new(flag_builder))"
src/codegen/mod.rs,89,codegen,Good,ISA error: {e},Includes specific information,".map_err(|e| CompileError::codegen(format!(""ISA error: {e}"")))?;  let obj_builder = ObjectBuilder::new("
src/codegen/mod.rs,96,codegen,Good,object builder error: {e},Includes specific information,".map_err(|e| CompileError::codegen(format!(""object builder error: {e}"")))?;  let mut module = ObjectModule::new(obj_builder);"
src/codegen/mod.rs,124,codegen,Good,declare extern fn error: {e},Includes specific information,".map_err(|e| CompileError::codegen(format!(""declare extern fn error: {e}"")))?; func_ids.insert(e.name.node.clone(), func_id);"
src/codegen/mod.rs,159,codegen,Good,declare generator next error: {e},Includes specific information,".map_err(|e| CompileError::codegen(format!(""declare generator next error: {e}"")))?; func_ids.insert(next_name, next_id);"
src/codegen/mod.rs,173,codegen,Good,declare method error: {e},Includes specific information,".map_err(|e| CompileError::codegen(format!(""declare method error: {e}"")))?; func_ids.insert(mangled, func_id);"
src/codegen/mod.rs,193,codegen,Good,missing sig for default method {mangled},Includes specific information,"CompileError::codegen(format!(""missing sig for default method {mangled}"")) })?;"
src/codegen/mod.rs,204,codegen,Good,declare default method error: {e},Includes specific information,".map_err(|e| CompileError::codegen(format!(""declare default method error: {e}"")))?; entry.insert(func_id);"
src/codegen/mod.rs,230,codegen,Good,missing func_id for vtable entry {mangled},Includes specific information,"CompileError::codegen(format!(""missing func_id for vtable entry {mangled}"")) })?;"
src/codegen/mod.rs,237,codegen,Good,declare vtable data error: {e},Includes specific information,".map_err(|e| CompileError::codegen(format!(""declare vtable data error: {e}"")))?; module.define_data(data_id, &data_desc) .map_err(|e| CompileError::codegen(format!(""define vtable data error: {e}"")))?;"
src/codegen/mod.rs,239,codegen,Good,define vtable data error: {e},Includes specific information,".map_err(|e| CompileError::codegen(format!(""define vtable data error: {e}"")))?;  vtable_ids.insert((class_name.clone(), trait_name.clone()), data_id);"
src/codegen/mod.rs,361,codegen,Good,define generator creator error for '{}': {e},Shows types and names,".map_err(|e| CompileError::codegen(format!(""define generator creator error for '{}': {e}"", f.name.node)))?;  // Generator: define next function"
src/codegen/mod.rs,378,codegen,Good,define generator next error for '{}': {e},Shows types and names,".map_err(|e| CompileError::codegen(format!(""define generator next error for '{}': {e}"", f.name.node)))?; } else {"
src/codegen/mod.rs,399,codegen,Good,define function error for '{}': {e},Shows types and names,".map_err(|e| CompileError::codegen(format!(""define function error for '{}': {e}"", f.name.node)))?; }"
src/codegen/mod.rs,423,codegen,Good,define method error for '{mangled}': {e},Shows types and names,".map_err(|e| CompileError::codegen(format!(""define method error for '{mangled}': {e}"")))?; }"
src/codegen/mod.rs,480,codegen,Good,define default method error for '{mangled}': {e},Shows types and names,".map_err(|e| CompileError::codegen(format!(""define default method error for '{mangled}': {e}"")))?; }"
src/codegen/mod.rs,498,codegen,Good,declare app method error: {e},Includes specific information,".map_err(|e| CompileError::codegen(format!(""declare app method error: {e}"")))?; func_ids.insert(mangled, func_id);"
src/codegen/mod.rs,513,codegen,Good,declare stage method error: {e},Includes specific information,".map_err(|e| CompileError::codegen(format!(""declare stage method error: {e}"")))?; func_ids.insert(mangled, func_id);"
src/codegen/mod.rs,539,codegen,Good,define app method error for '{mangled}': {e},Shows types and names,".map_err(|e| CompileError::codegen(format!(""define app method error for '{mangled}': {e}"")))?; }"
src/codegen/mod.rs,564,codegen,Good,define stage method error for '{mangled}': {e},Shows types and names,".map_err(|e| CompileError::codegen(format!(""define stage method error for '{mangled}': {e}"")))?; }"
src/codegen/mod.rs,574,codegen,Good,declare test main error: {e},Includes specific information,".map_err(|e| CompileError::codegen(format!(""declare test main error: {e}"")))?;  let mut fn_ctx = Context::new();"
src/codegen/mod.rs,619,codegen,Good,declare test name data error: {e},Includes specific information,".map_err(|e| CompileError::codegen(format!(""declare test name data error: {e}"")))?; module.define_data(data_id, &data_desc) .map_err(|e| CompileError::codegen(format!(""define test name data error: {e}"
src/codegen/mod.rs,621,codegen,Good,define test name data error: {e},Includes specific information,".map_err(|e| CompileError::codegen(format!(""define test name data error: {e}"")))?; let gv = module.declare_data_in_func(data_id, builder.func);"
src/codegen/mod.rs,633,codegen,Good,missing test function '{}',Shows types and names,"CompileError::codegen(format!(""missing test function '{}'"", test.fn_name)) })?;"
src/codegen/mod.rs,658,codegen,Good,define test main error: {e},Includes specific information,".map_err(|e| CompileError::codegen(format!(""define test main error: {e}"")))?; }"
src/codegen/mod.rs,671,codegen,Good,declare synthetic main error: {e},Includes specific information,".map_err(|e| CompileError::codegen(format!(""declare synthetic main error: {e}"")))?;  let mut fn_ctx = Context::new();"
src/codegen/mod.rs,694,codegen,Good,DI: unknown class '{}',Shows types and names,"CompileError::codegen(format!(""DI: unknown class '{}'"", class_name)) })?;"
src/codegen/mod.rs,742,codegen,Good,DI: unknown app class '{}',Shows types and names,"CompileError::codegen(format!(""DI: unknown app class '{}'"", app_name)) })?;"
src/codegen/mod.rs,767,codegen,Good,DI: missing app main function '{}',Shows types and names,"CompileError::codegen(format!(""DI: missing app main function '{}'"", app_main_mangled)) })?;"
src/codegen/mod.rs,781,codegen,Good,define synthetic main error: {e},Includes specific information,".map_err(|e| CompileError::codegen(format!(""define synthetic main error: {e}"")))?; }"
src/codegen/mod.rs,793,codegen,Good,declare synthetic main error: {e},Includes specific information,".map_err(|e| CompileError::codegen(format!(""declare synthetic main error: {e}"")))?;  let mut fn_ctx = Context::new();"
src/codegen/mod.rs,816,codegen,Good,DI: unknown class '{}',Shows types and names,"CompileError::codegen(format!(""DI: unknown class '{}'"", class_name)) })?;"
src/codegen/mod.rs,862,codegen,Good,DI: unknown stage class '{}',Shows types and names,"CompileError::codegen(format!(""DI: unknown stage class '{}'"", stage_name)) })?;"
src/codegen/mod.rs,887,codegen,Good,DI: missing stage main function '{}',Shows types and names,"CompileError::codegen(format!(""DI: missing stage main function '{}'"", stage_main_mangled)) })?;"
src/codegen/mod.rs,901,codegen,Good,define synthetic main error: {e},Includes specific information,".map_err(|e| CompileError::codegen(format!(""define synthetic main error: {e}"")))?; }"
src/codegen/mod.rs,905,codegen,Good,emit error: {e},Includes specific information,"let bytes = object.emit().map_err(|e| CompileError::codegen(format!(""emit error: {e}"")))?;  Ok(bytes)"
src/codegen/runtime.rs,216,codegen,Good,declare {name} error: {e},Includes specific information,".map_err(|e| CompileError::codegen(format!(""declare {name} error: {e}"")))?; self.ids.insert(name, id);"
src/lib.rs,137,codegen,Good,failed to write object file: {e},Includes specific information,".map_err(|e| CompileError::codegen(format!(""failed to write object file: {e}"")))?;  link(&obj_path, output_path)?;"
src/lib.rs,161,codegen,Good,failed to write object file: {e},Includes specific information,".map_err(|e| CompileError::codegen(format!(""failed to write object file: {e}"")))?;  let config = LinkConfig::test_config(&obj_path)?;"
src/lib.rs,187,codegen,Good,could not resolve path '{}': {e},Shows types and names,"CompileError::codegen(format!(""could not resolve path '{}': {e}"", entry_file.display())))?; let source = std::fs::read_to_string(&entry_file) .map_err(|e| CompileError::codegen(format!(""failed to read"
src/lib.rs,189,codegen,Good,failed to read entry file: {e},Includes specific information,".map_err(|e| CompileError::codegen(format!(""failed to read entry file: {e}"")))?; let effective_stdlib = resolve_stdlib(stdlib_root);"
src/lib.rs,214,codegen,Good,failed to write object file: {e},Includes specific information,".map_err(|e| CompileError::codegen(format!(""failed to write object file: {e}"")))?;  let mut config = LinkConfig::default_config(&obj_path)?;"
src/lib.rs,238,codegen,Good,could not resolve path '{}': {e},Shows types and names,"CompileError::codegen(format!(""could not resolve path '{}': {e}"", entry_file.display())))?; let source = std::fs::read_to_string(&entry_file) .map_err(|e| CompileError::codegen(format!(""failed to read"
src/lib.rs,240,codegen,Good,failed to read entry file: {e},Includes specific information,".map_err(|e| CompileError::codegen(format!(""failed to read entry file: {e}"")))?; let effective_stdlib = resolve_stdlib(stdlib_root);"
src/lib.rs,313,codegen,Good,could not resolve path '{}': {e},Shows types and names,"CompileError::codegen(format!(""could not resolve path '{}': {e}"", entry_file.display())))?; let source = std::fs::read_to_string(&entry_file) .map_err(|e| CompileError::codegen(format!(""failed to read"
src/lib.rs,315,codegen,Good,failed to read entry file: {e},Includes specific information,".map_err(|e| CompileError::codegen(format!(""failed to read entry file: {e}"")))?; let effective_stdlib = resolve_stdlib(stdlib_root);"
